username,url
Ndioro_,https://twitter.com/Ndioro_/status/1161052122919645184
Y0UMII0,https://twitter.com/Y0UMII0/status/1161051618818895872
DMariiama,https://twitter.com/DMariiama/status/1161051580365508615
PapiiThiiaw,https://twitter.com/PapiiThiiaw/status/1161051542939721733
maitretall05,https://twitter.com/maitretall05/status/1161050608188743680
Omar_Tidiane,https://twitter.com/Omar_Tidiane/status/1161050035938844672
___Nafissa,https://twitter.com/___Nafissa/status/1161049738713714688
Maymna_,https://twitter.com/Maymna_/status/1161064133606985730
mister_digital_,https://twitter.com/mister_digital_/status/1161063871211286528
bissata_,https://twitter.com/bissata_/status/1161062685892632576
S_J_D__,https://twitter.com/S_J_D__/status/1161062084840480770
azoubig,https://twitter.com/azoubig/status/1161061658623692800
its_Idy,https://twitter.com/its_Idy/status/1161061607813865472
PNdoucoumane,https://twitter.com/PNdoucoumane/status/1161061540314910721
laa_aicha,https://twitter.com/laa_aicha/status/1161061264568868870
ibSoOn_Baby,https://twitter.com/ibSoOn_Baby/status/1161061112747646976
Kinouush__,https://twitter.com/Kinouush__/status/1161060611012419587
manar_fall,https://twitter.com/manar_fall/status/1161060501910106112
seydouxhanne,https://twitter.com/seydouxhanne/status/1161059984869875713
Khady_TN,https://twitter.com/Khady_TN/status/1161059943228870656
Aminata07388093,https://twitter.com/Aminata07388093/status/1161059603607670784
DiopPacheikh27,https://twitter.com/DiopPacheikh27/status/1161058270846640135
absatou,https://twitter.com/absatou/status/1161057937361649664
DiionaBrown,https://twitter.com/DiionaBrown/status/1161057493092589570
Aidapoupouye,https://twitter.com/Aidapoupouye/status/1161057006947577857
gueye1986,https://twitter.com/gueye1986/status/1161056266921435136
kane_lamine,https://twitter.com/kane_lamine/status/1161055356862312453
Ccoumbaa,https://twitter.com/Ccoumbaa/status/1161055034123214848
MameCheikh02,https://twitter.com/MameCheikh02/status/1161054262782308352
Dia_Masterpiece,https://twitter.com/Dia_Masterpiece/status/1161053896464392197
kokydrame,https://twitter.com/kokydrame/status/1161053492187947011
princess_serere,https://twitter.com/princess_serere/status/1161053299174457349
cleobonbonn,https://twitter.com/cleobonbonn/status/1161051253079777281
iamkinegf,https://twitter.com/iamkinegf/status/1161049897040326657
Diaw_Ada,https://twitter.com/Diaw_Ada/status/1161049896109182976
fk_wathie,https://twitter.com/fk_wathie/status/1161049744573116416
_khadim_thiam_,https://twitter.com/_khadim_thiam_/status/1161049696342892545
mah_tih,https://twitter.com/mah_tih/status/1161049567711899648
